Patrick,Leahy,D,VT,@SenatorLeahy,0
Thad,Cochran,R,MS,@SenThadCochran,0
John,McCain,R,AZ,@SenJohnMcCain,0
Dianne,Feinstein,D,CA,@SenFeinstein,0
Barbara,Boxer,D,CA,@SenatorBoxer,0
Patty,Murray,D,WA,@PattyMurray,0
Jim,Inhofe,R,OK,@jiminhofe,0
Ron,Wyden,D,OR,@RonWyden,0
Pat,Roberts,R,KS,@SenPatRoberts,0
Dick,Durbin,D,IL,@SenatorDurbin,0
Chuck,Schumer,D,NY,@SenSchumer,0
Maria,Cantwell,D,WA,@SenatorCantwell,0
Lisa,Murkowski,R,AK,@lisamurkowski,0
Bob,Menendez,D,NJ,@SenatorMenendez,0
Ben,Cardin,D,MD,@SenatorCardin,0
Bob,Casey,D,PA,@SenBobCasey,0
Jon,Tester,D,MT,@SenatorTester,0
Jeff,Merkley,D,OR,@SenJeffMerkley,0
Mark,Kirk,R,IL,@SenatorKirk,0
Richard,Blumenthal,D,CT,@SenBlumenthal,0
Chris,Murphy,D,CT,@ChrisMurphyCT,0
Martin,Heinrich,D,NM,@MartinHeinrich,0
Elizabeth,Warren,D,MA,@SenWarren,0
Ed,Markey,D,MA,@SenMarkey,0
Dan,Sullivan,R,AK,@SenDanSullivan,0
Barabara,Mikulski,D,MD,@SenatorBarb,1
Jack,Reed,D,RI,@SenJackReed,1
Johnny,Isakson,R,GA,@SenatorIsakson,1
Amy,Klobuchar,D,MN,@amyklobuchar,1
Sheldon,Whitehouse,D,RI,@SenWhitehouse,1
Tom,Udall,D,NM,@SenatorTomUdall,1
Mark,Warner,D,VA,@MarkWarner,1
Jim,Risch,D,ID,@SenatorRisch,1
Kristen,Gillibrand,D,NY,@SenGillibrand,1
Joe,Manchin,D,WV,@Sen_JoeManchin,1
Chris,Coons,D,DE,@ChrisCoons,1
Roy,Blunt,R,MO,@RoyBlunt,1
John,Hoeven,R,ND,@SenJohnHoeven,1
Kelly,Ayotte,R,NH,@KellyAyotte,1
Tammy,Baldwin,D,WI,@SenatorBaldwin,1
Mazie,Hirono,D,HI,@maziehirono,1
Angus,King,I,ME,@SenAngusKing,1
Heidi,Heitkamp,D,ND,@SenatorHeitkamp,1
Shelley,Moore Capito,R,WV,@SenCapito,1
Gary,Peters,D,MI,@SenGaryPeters,1
Richard,Shelby,R,AL,@SenShelby,2
Susan,Collins,R,ME,@SenatorCollins,2
Mike,Crapo,R,ID,@MikeCrapo,2
Lindsey,Graham,R,SC,@LindseyGrahamSC,2
Lamar,Alexander,R,TN,@SenAlexander,2
Richard,Burr,R,NC,@SenatorBurr,2
John,Thune,R,SD,@SenJohnThune,2
Bob,Corker,R,TN,@SenBobCorker,2
Claire,McCaskill,D,MO,@clairecmc,2
Roger,Wicker,R,MS,@SenatorWicker,2
Dan,Coats,R,IN,@SenDanCoats,2
Ron,Johnson,R,WI,@SenRonJohnson,2
Rand,Paul,R,KY,@RandPaul,2
Jeff,Flake,R,AZ,@JeffFlake,2
Joe,Donnelly,D,IN,@SenDonnelly,2
James,Lankford,R,OK,@SenatorLankford,2
Tom,Cotton,R,AR,@SenTomCotton,2
Thom,Tillis,R,NC,@ThomTillis,2
Orrin,Hatch,R,UT,@OrrinHatch,3
Mitch,McConnell,R,KY,@McConnellPress,3
Harry,Reid,D,NV,@SenatorReid,3
Jeff,Sessions,R,AL,@SenatorSessions,3
Mike,Enzi,R,WY,@SenatorEnzi,3
Bill,Nelson,D,FL,@SenBillNelson,3
John,Cornyn,R,TX,@JohnCornyn,3
John,Barrasso,R,WY,@SenJohnBarrasso,3
Rob,Portman,R,OH,@robportman,3
Ted,Cruz,R,TX,@tedcruz,3
Cory,Gardner,R,CO,@CoryGardner,3
Gary,Johnson,I,NM,@GovGaryJohnson,3
Donald,Trump,R,NY,@realDonaldTrump,3
Hillary,Clinton,D,NY,@HillaryClinton,3
Barack,Obama,D,IL,@BarackObama,3
Ben,Sasse,R,NE,@BenSasse,4
Chuck,Grassley,R,IA,@ChuckGrassley,5
Bernie,Sanders,I,VT,@SenSanders,5
Mike,Lee,R,UT,@SenMikeLee,5
Bernie,Sanders,D,VT,@BernieSanders,5
Jill,Stein,I,MD,@DrJillStein,5
Evan,McMullin,I,UT,@Evan_McMullin,5
Tom,Carper,D,DE,@SenatorCarper,6
Debbie,Stabenow,D,MI,@stabenow,6
David,Vitter,R,LA,@DavidVitter,6
Sherrod,Brown,D,OH,@SenSherrodBrown,6
Jeanne,Shaheen,D,NH,@SenatorShaheen,6
Michael,Bennet,D,CO,@SenBennetCO,6
Al,Franken,D,MN,@alfranken,6
Jerry,Moran,R,KS,@JerryMoran,6
John,Boozman,R,AR,@JohnBoozman,6
Pat,Toomey,R,PA,@SenToomey,6
Marco,Rubio,R,FL,@marcorubio,6
Dean,Heller,R,NV,@SenDeanHeller,6
Brian,Schatz,D,HI,@brianschatz,6
Tim,Scott,R,SC,@SenatorTimScott,6
Tim,Kaine,D,VA,@timkaine,6
Deb,Fischer,R,NE,@SenatorFischer,6
Bill,Cassidy,R,LA,@BillCassidy,6
Steve,Daines,R,MT,@SteveDaines,6
Mike,Rounds,R,SD,@SenatorRounds,6
David,Perdue,R,GA,@sendavidperdue,6
Joni,Ernst,R,IA,@SenJoniErnst,6
Cory,Booker,D,NJ,@CoryBooker,7
